sl.no,Pick_Time
1242,12.990331
1243,17.674892
1244,13.503488
1245,40.2739
1246,13.889516
1247,22.704285
1248,12.558171
1249,11.177049
1250,34.78495
1251,10.217573
1252,11.673217
1253,10.6518955
1254,20.91491
1255,12.451591
1256,25.398258
1257,11.504801
1258,17.420498
1259,16.875473
1260,12.912579
1261,16.299654
1262,14.059787
1263,15.110703
1264,12.563716
1265,13.31207
1266,9.921222
1267,15.071769
1268,21.066418
1269,15.216152
1270,7.0921164
1271,14.585483
1272,14.750274
1273,16.377438
1274,8.408329
1275,25.355728
1276,15.875219
1277,11.853872
1278,12.821204
1279,11.339835
1280,18.426067
1281,25.796436
1282,21.680264
1283,16.661324
1284,12.529307
1285,9.4105215
1286,16.042805
1287,20.162407
1288,15.176273
1289,14.70786
1290,30.224342
1291,22.411385
1292,6.858202
1293,23.209126
1294,21.032421
1295,11.895201
1296,19.284801
1297,29.02044
1298,16.70337
1299,10.0207205
1300,16.50463
1301,18.140205
1302,13.5933485
1303,10.779529
1304,19.408455
1305,15.37799
1306,13.882538
1307,11.176776
1308,17.767849
1309,17.394184
1310,16.295305
1311,9.728759
1312,10.774678
1313,14.557177
1314,11.376443
1315,11.769641
1316,21.775227
1317,11.641908
1318,25.536613
1319,9.525794
1320,11.769741
1321,26.80323
1322,10.746711
1323,11.950009
1324,14.069528
1325,15.36769
1326,9.502498
1327,15.850873
1328,13.960083
1329,12.433559
1330,15.749021
1331,14.759523
1332,15.694335
1333,15.730681
1334,13.972209
1335,20.063042
1336,11.120019
1337,14.807555
1338,13.449916
1339,8.970443
1340,12.22226
1341,10.694476
1342,10.887305
1343,19.111893
1344,12.720629
1345,11.811099
1346,11.0941305
1347,8.782443
1348,19.677464
1349,12.756616
1350,16.19455
1351,9.2150545
1352,12.239749
1353,15.158446
1354,13.525864
1355,9.357547
1356,18.622066
1357,26.334282
1358,11.87745
1359,14.682523
1360,8.295707
1361,14.472032
1362,16.028131
1363,17.525833
1364,11.723986
1365,15.061404
1366,14.616277
1367,14.456964
1368,16.669003
1369,10.849444
1370,17.365437
1371,15.500848
1372,15.527134
1373,13.732071
1374,12.949466
1375,15.369713
1376,12.297421
1377,15.907264
1378,14.702632
1379,17.383392
1380,17.670208
1381,13.769752
1382,12.355594
1383,9.7724
1384,18.581802
1385,20.265549
1386,22.968063
1387,18.383347
1388,11.001744
1389,13.414502
1390,10.459362
1391,12.152671
1392,19.950504
1393,11.194464
1394,9.776141
1395,13.327632
1396,16.115753
1397,19.017307
1398,17.096828
1399,18.52687
1400,14.571049
1401,13.9178
1402,12.759999
1403,14.649583
1404,14.3334055
1405,9.43808
1406,12.767076
1407,14.391063
1408,15.4917345
1409,17.214905
1410,10.751787
1411,12.548327
1412,15.01247
1413,13.349694
1414,15.88997
1415,8.450726
1416,23.81528
1417,13.313914
1418,12.627716
1419,17.436008
1420,15.274293
1421,18.773914
1422,20.062874
1423,11.724257
1424,24.781963
1425,17.192646
1426,9.578557
1427,11.648281
1428,16.326988
1429,9.30422
1430,12.087066
1431,12.453556
1432,15.310403
1433,10.532113
1434,17.267097
1435,14.530555
1436,19.130531
1437,16.19085
1438,6.2444673
1439,12.868138
1440,11.637816
1441,24.322548
1442,29.929558
1443,14.898326
1444,11.907413
1445,15.759859
1446,9.585559
1447,14.637992
1448,13.48799
1449,11.290549
1450,14.224605
1451,10.541745
1452,13.640122
1453,8.329058
1454,10.441222
1455,19.96016
1456,18.051178
1457,15.185839
1458,12.430982
1459,16.116062
1460,13.091515
1461,18.8792
1462,16.125196
1463,8.780808
1464,16.631771
1465,11.428426
1466,12.4407015
1467,15.562461
1468,17.162651
1469,24.965504
1470,13.063759
